# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_00001	CLUG_00001	CLUT_00001T0	protein_coding	0	7	4	163	0	0	0	0	64	0	0	0	4	0	0	0	0	0	7	99
CLUG_00002	CLUG_00002	CLUT_00002T0	protein_coding	0	3	2	185	0	0	0	0	75	0	0	0	2	0	0	0	0	0	3	110
CLUG_00003	CLUG_00003	CLUT_00003T0	protein_coding	1	12	13	169	0	0	0	0	81	1	0	0	13	0	0	0	0	0	12	88
CLUG_00004	CLUG_00004	CLUT_00004T0	protein_coding	1	16	5	152	0	0	0	0	97	1	0	0	5	0	0	0	0	0	16	55
CLUG_00005	CLUG_00005	CLUT_00005T0	protein_coding	0	16	1	169	0	0	0	0	72	0	0	0	1	0	0	0	0	0	16	97
CLUG_00006	CLUG_00006	CLUT_00006T0	protein_coding	1	15	1	166	0	0	0	0	84	1	0	0	1	0	0	0	0	0	15	82
CLUG_00007	CLUG_00007	CLUT_00007T0	protein_coding	0	24	6	137	0	0	0	0	58	0	0	0	6	0	0	0	0	0	24	79
CLUG_00008	CLUG_00008	CLUT_00008T0	protein_coding	0	12	0	145	0	0	0	0	95	0	0	0	0	0	0	0	0	0	12	50
CLUG_00009	CLUG_00009	CLUT_00009T0	protein_coding	0	5	4	135	0	0	0	0	41	0	0	0	4	0	0	0	0	0	5	94
CLUG_00010	CLUG_00010	CLUT_00010T0	protein_coding	0	3	0	129	0	0	0	0	90	0	0	0	0	0	0	0	0	0	3	39
CLUG_00011	CLUG_00011	CLUT_00011T0	protein_coding	0	22	9	86	0	0	0	0	16	0	0	0	9	0	0	0	0	0	22	70
CLUG_00012	CLUG_00012	CLUT_00012T0	protein_coding	0	3	1	95	0	0	0	0	39	0	0	0	1	0	0	0	0	0	3	56
CLUG_00013	CLUG_00013	CLUT_00013T0	protein_coding	0	1	2	104	0	0	0	0	41	0	0	0	2	0	0	0	0	0	1	63
CLUG_00014	CLUG_00014	CLUT_00014T0	protein_coding	0	1	1	118	0	0	0	0	79	0	0	0	1	0	0	0	0	0	1	39
CLUG_00015	CLUG_00015	CLUT_00015T0	protein_coding	0	16	9	106	0	1	0	0	86	0	0	0	8	0	0	0	0	0	16	20
CLUG_00016	CLUG_00016	CLUT_00016T0	protein_coding	0	10	2	138	0	0	0	0	99	0	0	0	2	0	0	0	0	0	10	39
CLUG_00017	CLUG_00017	CLUT_00017T0	protein_coding	0	8	5	151	0	0	0	0	96	0	0	0	5	0	0	0	0	0	8	55
CLUG_00018	CLUG_00018	CLUT_00018T0	protein_coding	0	17	3	158	0	0	0	0	86	0	0	0	3	0	0	0	0	0	17	72
CLUG_00019	CLUG_00019	CLUT_00019T0	protein_coding	0	12	4	168	0	0	0	0	76	0	0	0	4	0	0	0	0	0	12	92
CLUG_00020	CLUG_00020	CLUT_00020T0	protein_coding	0	8	0	152	0	0	0	0	52	0	0	0	0	0	0	0	0	0	8	100
CLUG_00021	CLUG_00021	CLUT_00021T0	protein_coding	0	4	0	141	0	0	0	0	49	0	0	0	0	0	0	0	0	0	4	92
CLUG_00022	CLUG_00022	CLUT_00022T0	protein_coding	1	5	4	139	0	0	0	0	89	1	0	0	4	0	0	0	0	0	5	50
CLUG_00023	CLUG_00023	CLUT_00023T0	protein_coding	0	6	1	121	0	0	0	0	39	0	0	0	1	0	0	0	0	0	6	82
CLUG_00024	CLUG_00024	CLUT_00024T0	protein_coding	0	5	2	113	0	0	0	0	79	0	0	0	2	0	0	0	0	0	5	34
CLUG_00025	CLUG_00025	CLUT_00025T0	protein_coding	0	6	2	125	0	0	0	0	53	0	0	0	2	0	0	0	0	0	6	72
CLUG_00026	CLUG_00026	CLUT_00026T0	protein_coding	1	21	11	161	0	0	0	0	46	1	0	0	11	0	0	0	0	0	21	115
CLUG_00027	CLUG_00027	CLUT_00027T0	protein_coding	0	4	0	253	0	0	0	0	125	0	0	0	0	0	0	0	0	0	4	128
CLUG_00028	CLUG_00028	CLUT_00028T0	protein_coding	1	4	12	210	0	0	0	0	78	0	0	0	12	0	0	1	0	0	4	132
CLUG_00029	CLUG_00029	CLUT_00029T0	protein_coding	0	15	2	183	0	0	0	0	96	0	0	0	2	0	0	0	0	0	15	87
CLUG_00030	CLUG_00030	CLUT_00030T0	protein_coding	0	1	1	211	0	0	0	0	144	0	0	0	1	0	0	0	0	0	1	67
CLUG_00031	CLUG_00031	CLUT_00031T0	protein_coding	0	1	0	203	0	0	0	0	66	0	0	0	0	0	0	0	0	0	1	137
CLUG_00032	CLUG_00032	CLUT_00032T0	protein_coding	3	12	1	164	1	0	0	0	68	1	0	0	0	0	0	2	0	0	12	96
CLUG_00033	CLUG_00033	CLUT_00033T0	protein_coding	0	10	2	139	0	0	0	0	72	0	0	0	2	0	0	0	0	0	10	67
CLUG_00034	CLUG_00034	CLUT_00034T0	protein_coding	0	18	9	147	0	0	0	0	64	0	0	0	9	0	0	0	0	0	18	83
CLUG_00035	CLUG_00035	CLUT_00035T0	protein_coding	0	35	9	156	0	0	0	0	72	0	0	0	9	0	0	0	0	0	35	84
CLUG_00036	CLUG_00036	CLUT_00036T0	protein_coding	0	61	27	168	0	0	0	0	79	0	0	0	27	0	0	0	0	0	61	89
CLUG_00037	CLUG_00037	CLUT_00037T0	protein_coding	0	15	3	193	0	0	0	0	79	0	0	0	3	1	0	0	0	1	14	114
CLUG_00038	CLUG_00038	CLUT_00038T0	protein_coding	0	11	0	171	0	0	0	0	87	0	0	0	0	0	0	0	0	0	11	84
CLUG_00039	CLUG_00039	CLUT_00039T0	protein_coding	0	15	3	168	0	0	0	0	81	0	0	0	3	0	0	0	0	0	15	87
CLUG_00040	CLUG_00040	CLUT_00040T0	protein_coding	1	0	0	189	0	0	0	0	68	1	0	0	0	0	0	0	0	0	0	121
CLUG_00041	CLUG_00041	CLUT_00041T0	protein_coding	0	7	1	199	0	0	0	0	92	0	0	0	1	0	0	0	0	0	7	107
CLUG_00042	CLUG_00042	CLUT_00042T0	protein_coding	0	10	2	176	0	0	0	0	84	0	0	0	2	0	0	0	0	0	10	92
CLUG_00043	CLUG_00043	CLUT_00043T0	protein_coding	0	35	14	186	0	0	0	0	87	0	0	0	14	0	0	0	0	0	35	99
CLUG_00044	CLUG_00044	CLUT_00044T0	protein_coding	1	20	5	192	0	0	0	0	83	0	0	0	5	0	0	1	0	0	20	109
CLUG_00045	CLUG_00045	CLUT_00045T0	protein_coding	0	13	0	185	0	0	0	0	97	0	0	0	0	0	0	0	0	0	13	88
CLUG_00046	CLUG_00046	CLUT_00046T0	protein_coding	0	13	9	192	0	0	0	0	90	0	0	0	9	0	0	0	0	0	13	102
CLUG_00047	CLUG_00047	CLUT_00047T0	protein_coding	0	15	7	156	0	0	0	0	57	0	0	0	7	0	0	0	0	0	15	99
CLUG_00048	CLUG_00048	CLUT_00048T0	protein_coding	1	18	0	150	0	0	0	0	106	1	0	4	0	1	1	0	0	0	17	41
CLUG_00049	CLUG_00049	CLUT_00049T0	protein_coding	0	3	0	109	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	89
CLUG_00050	CLUG_00050	CLUT_00050T0	protein_coding	0	2	1	84	0	0	0	0	57	0	0	0	1	0	0	0	0	0	2	27
CLUG_00051	CLUG_00051	CLUT_00051T0	protein_coding	0	3	1	75	0	0	0	0	40	0	0	0	1	0	0	0	0	0	3	35
CLUG_00052	CLUG_00052	CLUT_00052T0	protein_coding	0	12	10	52	0	0	0	1	24	0	0	0	9	0	0	0	0	0	12	28
CLUG_00053	CLUG_00053	CLUT_00053T0	protein_coding	0	3	2	62	0	0	0	0	35	0	0	0	2	0	0	0	0	0	3	27
CLUG_00054	CLUG_00054	CLUT_00054T0	protein_coding	1	9	2	51	0	0	0	0	33	1	0	0	2	0	0	0	0	0	9	18
CLUG_00055	CLUG_00055	CLUT_00055T0	protein_coding	0	1	2	59	0	0	0	0	16	0	0	0	2	0	0	0	0	0	1	43
CLUG_00056	CLUG_00056	CLUT_00056T0	protein_coding	0	7	0	44	0	0	0	0	17	0	0	0	0	0	0	0	0	0	7	27
CLUG_00057	CLUG_00057	CLUT_00057T0	protein_coding	0	4	0	54	0	0	0	0	35	0	0	0	0	0	0	0	0	0	4	19
CLUG_00058	CLUG_00058	CLUT_00058T0	protein_coding	0	0	1	70	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	54
CLUG_00059	CLUG_00059	CLUT_00059T0	protein_coding	0	2	0	82	0	0	0	0	68	0	0	0	0	0	0	0	0	0	2	14
CLUG_00060	CLUG_00060	CLUT_00060T0	protein_coding	0	1	1	84	0	0	0	0	66	0	0	0	1	0	0	0	0	0	1	18
CLUG_00061	CLUG_00061	CLUT_00061T0	protein_coding	0	11	2	67	0	0	0	0	33	0	0	0	2	0	0	0	0	0	11	34
CLUG_00062	CLUG_00062	CLUT_00062T0	protein_coding	0	0	1	81	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	69
CLUG_00063	CLUG_00063	CLUT_00063T0	protein_coding	0	5	3	82	0	0	0	0	17	0	0	0	3	0	0	0	0	0	5	65
CLUG_00064	CLUG_00064	CLUT_00064T0	protein_coding	0	1	0	32	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	21
CLUG_00065	CLUG_00065	CLUT_00065T0	protein_coding	0	3	1	35	0	0	0	0	23	0	0	0	1	0	0	0	0	0	3	12
CLUG_00066	CLUG_00066	CLUT_00066T0	protein_coding	0	4	3	65	0	0	0	0	15	0	0	0	3	0	0	0	0	0	4	50
CLUG_00067	CLUG_00067	CLUT_00067T0	protein_coding	0	3	1	66	0	0	0	0	18	0	0	0	1	0	0	0	0	0	3	48
CLUG_00068	CLUG_00068	CLUT_00068T0	protein_coding	0	2	6	85	0	0	0	0	21	0	0	0	6	0	0	0	0	0	2	64
CLUG_00069	CLUG_00069	CLUT_00069T0	protein_coding	0	14	4	76	0	0	0	0	38	0	0	0	4	0	0	0	0	0	14	38
CLUG_00070	CLUG_00070	CLUT_00070T0	protein_coding	0	1	3	91	0	0	0	0	43	0	0	0	3	0	0	0	0	0	1	48
CLUG_00071	CLUG_00071	CLUT_00071T0	protein_coding	0	13	2	99	0	0	0	0	43	0	0	0	2	0	0	0	0	0	13	56
CLUG_00072	CLUG_00072	CLUT_00072T0	protein_coding	0	11	1	92	0	0	0	0	60	0	0	0	1	0	0	0	0	0	11	32
CLUG_00073	CLUG_00073	CLUT_00073T0	protein_coding	0	8	0	67	0	0	0	0	43	0	0	0	0	0	0	0	0	0	8	24
CLUG_00074	CLUG_00074	CLUT_00074T0	protein_coding	6	1	0	41	0	0	0	0	18	6	0	0	0	0	0	0	0	0	1	23
CLUG_00075	CLUG_00075	CLUT_00075T0	protein_coding	1	2	0	33	0	0	0	0	13	1	0	0	0	0	0	0	0	0	2	20
CLUG_00076	CLUG_00076	CLUT_00076T0	protein_coding	1	0	2	34	0	0	0	0	14	1	0	0	2	0	0	0	0	0	0	20
CLUG_00077	CLUG_00077	CLUT_00077T0	protein_coding	0	2	1	44	0	0	0	0	17	0	0	0	1	0	0	0	0	0	2	27
CLUG_00078	CLUG_00078	CLUT_00078T0	protein_coding	0	1	0	45	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	19
CLUG_00079	CLUG_00079	CLUT_00079T0	protein_coding	0	0	2	34	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	24
CLUG_00080	CLUG_00080	CLUT_00080T0	protein_coding	0	6	6	36	0	0	0	0	24	0	0	0	6	0	0	0	0	0	6	12
CLUG_00081	CLUG_00081	CLUT_00081T0	protein_coding	0	5	3	42	0	1	0	1	19	0	0	0	1	0	0	0	0	0	5	23
CLUG_00082	CLUG_00082	CLUT_00082T0	protein_coding	0	3	0	50	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3	25
CLUG_00083	CLUG_00083	CLUT_00083T0	protein_coding	0	5	2	57	0	0	0	0	30	0	0	0	2	0	0	0	0	0	5	27
CLUG_00084	CLUG_00084	CLUT_00084T0	protein_coding	0	4	2	56	0	0	0	0	36	0	0	0	2	0	0	0	0	0	4	20
CLUG_00085	CLUG_00085	CLUT_00085T0	protein_coding	0	1	0	60	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	37
CLUG_00086	CLUG_00086	CLUT_00086T0	protein_coding	0	4	1	56	0	0	0	0	21	0	0	0	1	0	0	0	0	0	4	35
CLUG_00087	CLUG_00087	CLUT_00087T0	protein_coding	0	11	7	47	0	0	0	0	27	0	0	0	7	0	0	0	0	0	11	20
CLUG_00088	CLUG_00088	CLUT_00088T0	protein_coding	0	10	2	66	0	0	0	0	37	0	0	0	2	0	0	0	0	0	10	29
CLUG_00089	CLUG_00089	CLUT_00089T0	protein_coding	0	4	1	69	0	0	0	0	40	0	0	0	1	0	0	0	0	0	4	29
CLUG_00090	CLUG_00090	CLUT_00090T0	protein_coding	0	1	1	65	0	0	0	0	20	0	0	0	1	0	0	0	0	0	1	45
